City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Fomboni,KM,75.33,light rain,-12.28,43.7425,Pension Paradis
364,Natal,BR,73.62,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
365,Inongo,CD,67.14,overcast clouds,-1.95,18.2667,Hotel Du Lac
367,Airai,TL,77.31,few clouds,-8.9266,125.4092,Juvinal Martin
369,Carnarvon,AU,64.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
371,Zhigalovo,RU,80.02,clear sky,54.8097,105.1578,"Hotel ""Lenatur"""
372,Terrace Bay,CA,60.42,scattered clouds,48.7834,-87.1,Drifters Motel & Restaurant
373,Oia,PT,63.12,scattered clouds,40.5426,-8.5386,Hotel Estalagem da Pateira
375,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
376,Marawi,PH,84.16,few clouds,7.9986,124.2928,Derogongan Residence
378,Waingapu,ID,84.45,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
379,Elesbao Veloso,BR,73.69,clear sky,-6.2019,-42.1403,Pousada Paraiso
380,Sulangan,PH,85.19,broken clouds,11.1373,123.7228,Maia's Beach Resort
381,Fairbanks,US,69.76,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
382,San Pedro,PH,80.15,smoke,14.35,121.0167,Villa Veronica Resort Private Pool
384,Haicheng,CN,91.27,broken clouds,40.8516,122.7475,Haicheng Grand Hotel
385,Astoria,US,78.96,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
388,Lasa,IT,68.88,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
389,Pontalina,BR,61.77,clear sky,-17.525,-49.4472,Hotel Entre Rios
390,Dingle,PH,86.52,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
391,Moose Factory,CA,66.2,mist,51.2585,-80.6094,Moosonee Lilypad
392,Hervey Bay,AU,69.91,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
393,San Policarpo,PH,90.7,overcast clouds,12.1791,125.5072,JM Lodge
395,Tecolutla,MX,80.51,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
396,Ariquemes,BR,78.8,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
397,Lingao,CN,87.55,few clouds,19.9103,109.6859,Lingao Ditai Inn
399,Shenjiamen,CN,79.5,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
401,Mana,GF,76.64,moderate rain,5.6592,-53.7767,LE SAMANA
403,Ipilan,PH,87.46,overcast clouds,8.8431,117.9033,Brookes Inn
405,Bay City,US,73.62,mist,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
406,Perpignan,FR,74.53,clear sky,42.75,2.75,Le moulin a huile de l'agly
407,Takanabe,JP,84.09,overcast clouds,32.1333,131.5,Hotel AZ Miyazaki Takanabe
408,Sukumo,JP,83.23,overcast clouds,32.9333,132.7333,Sukumojo
410,Gorele,TR,74.64,clear sky,41.0308,39.0031,Görele Öğretmenevi
412,Teknaf,BD,83.01,light rain,20.8624,92.3058,Forestry Guesthouse
413,Xianyang,CN,85.24,light rain,34.3378,108.7026,铁路大厦
416,Aden,YE,80.71,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
417,Santa Maria Del Oro,MX,74.82,overcast clouds,25.9333,-105.3667,Hotel Palacio Del Sol
419,Dzaoudzi,YT,76.89,broken clouds,-12.7887,45.2699,Le Rocher
422,Chake Chake,TZ,74.3,clear sky,-5.2459,39.7666,Hotel Archipelago
425,Youhao,CN,86.83,overcast clouds,47.8667,128.8333,Changcheng Hotel
426,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
428,Mareeba,AU,81.45,overcast clouds,-17,145.4333,Trinity Plains Tourist Park
430,Busca,IT,71.37,broken clouds,44.5181,7.4743,Trattoria Fermata Ceretto
432,Asyut,EG,78.98,clear sky,27.181,31.1837,Florence Hotel Assiut
433,Gizo,SB,81.88,moderate rain,-8.103,156.8419,Imagination Island
434,Makaha,US,85.91,overcast clouds,21.4694,-158.2175,Hawaiian Princess Resort
437,Lindi,TZ,66.72,clear sky,-10,39.7167,Lindi paradise house
439,Kabinda,CD,64.6,clear sky,-6.1333,24.4833,Village Mianda Mutole
443,Namangan,UZ,84.65,clear sky,40.9983,71.6726,Oydin Plaza
