City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Puerto Ayacucho,VE,5.6639,-67.6236,73.71,94,100,2.75,light rain
198,Kudahuvadhoo,MV,2.6708,72.8944,81.52,77,98,5.79,overcast clouds
199,Acapulco,MX,16.8634,-99.8901,84.02,84,40,8.05,scattered clouds
200,Skibbereen,IE,51.55,-9.2667,62.4,93,9,4.05,clear sky
201,Lewiston,US,44.1003,-70.2148,64.69,87,1,5.75,clear sky
202,Abu Samrah,SY,35.3029,37.1841,74.21,73,0,4.03,clear sky
203,Kavieng,PG,-2.5744,150.7967,83.91,72,11,7.27,light rain
204,Te Anau,NZ,-45.4167,167.7167,53.44,68,100,5.73,overcast clouds
205,Tura,IN,25.5198,90.2201,81.12,83,93,6.29,overcast clouds
206,Kieta,PG,-6.2167,155.6333,81,81,79,9.51,light rain
207,Hurghada,EG,27.2574,33.8129,82.44,28,0,10.36,clear sky
208,Bowen,AU,-20.0167,148.2333,79.02,36,8,5.1,clear sky
209,Semporna,MY,4.4818,118.6112,82.6,71,63,11.99,broken clouds
210,Dikson,RU,73.5069,80.5464,36.63,97,86,8.52,overcast clouds
211,Launceston,AU,-41.45,147.1667,46.62,72,75,5.01,broken clouds
212,Yashkul,RU,46.1711,45.3435,79.41,35,96,4.52,overcast clouds
213,Nelson Bay,AU,-32.7167,152.15,60.01,44,4,5.99,clear sky
214,Sambava,MG,-14.2667,50.1667,68.09,87,100,15.35,light rain
215,Kenai,US,60.5544,-151.2583,62.02,87,90,12.66,overcast clouds
216,Borogontsy,RU,62.6683,131.1683,76.82,41,22,8.16,few clouds
217,Takoradi,GH,4.8845,-1.7554,73.13,85,10,7.11,clear sky
218,Huangmei,CN,30.1924,116.025,88.92,54,0,6.15,clear sky
219,Tansen,NP,27.8673,83.5467,74.48,78,93,4.83,overcast clouds
220,Alofi,NU,-19.0595,-169.9187,82.29,74,14,8.05,few clouds
221,Caucaia,BR,-3.7361,-38.6531,78.75,76,20,6.91,few clouds
222,Mahebourg,MU,-20.4081,57.7,70.09,78,20,10.36,few clouds
223,Teberda,RU,43.4456,41.7448,58.6,90,6,2.59,clear sky
224,Robertsport,LR,6.7533,-11.3686,77.34,77,99,9.69,overcast clouds
225,Windhoek,NA,-22.5594,17.0832,47.1,33,4,5.75,clear sky
226,Eshowe,ZA,-28.8865,31.4699,43.14,76,6,5.23,clear sky
